"","x"
"1051",1.46431376663951e-303
"1052",1.1999757920279e-199
"1053",0
"1054",0
"1055",6.72887638708478e-58
"1056",5.25942693573262e-224
"1057",8.41720818239898e-260
"1058",1.10892126048606e-111
"1059",4.77570285627121e-21
"1060",2.03146013324904e-29
"1061",1.40171279784323e-69
"1062",7.64589227219869e-32
"1063",6.43435994340159e-32
"1064",1
"1065",3.75814179744358e-69
"1066",1.8670888933501e-30
"1067",3.41154311367413e-19
"1068",1
"1069",1.13319438445182e-60
"1070",7.52680550953505e-18
"1071",7.08943310432174e-33
"1072",8.62665488635822e-12
"1073",2.10268711156185e-17
"1074",3.63212736645824e-26
"1075",1
"1076",3.22781444036442e-43
"1077",1.69999115200656e-69
"1078",1.03518798651018e-24
"1079",0
"1080",0
"1081",0
"1082",1.4233697643137e-69
"1083",9.92941820074895e-86
"1084",5.04043690816817e-81
"1085",1.67564682398615e-25
"1086",6.75797901170426e-236
"1087",3.00736383941675e-197
"1088",1.17165441674119e-26
"1089",6.40165332999749e-283
"1090",3.32633683560047e-233
"1091",0.0245611759578686
"1092",2.07281162966666e-254
"1093",5.55965679450288e-174
"1094",8.30078787241051e-73
"1095",4.97286905378048e-35
"1096",4.97239098747801e-31
"1097",3.39810446159276e-318
"1098",9.84415680025416e-75
"1099",0
"1100",0
"1101",1.07361130815961e-30
"1102",0
"1103",9.36669396582984e-303
"1104",7.91445976958788e-31
"1105",3.64608545130187e-110
"1106",6.01654897948383e-119
"1107",6.74980582551365e-78
"1108",2.27435217666058e-37
"1109",5.64753917654864e-21
"1110",0.00582356447379599
"1111",5.90780144081182e-137
"1112",5.3258366504901e-56
"1113",1.41557751004357e-29
"1114",1
"1115",1.0815661656605e-102
"1116",5.73268422943388e-26
"1117",1.14121860235778e-34
"1118",3.59217214386752e-18
"1119",4.29905709179226e-08
"1120",1
"1121",1
"1122",1
"1123",0.0129110365737334
"1124",1
"1125",0
"1126",0
"1127",0
"1128",0
"1129",1.30643601076303e-22
"1130",3.22116655811516e-19
"1131",1.01045550348355e-69
"1132",1.30684071839151e-35
"1133",3.72164915633129e-186
"1134",3.87505180629608e-295
"1135",4.20038372595271e-37
"1136",8.33980688910212e-218
"1137",0
"1138",1.996127131645e-08
"1139",1.44377945886437e-174
"1140",1.31169641035363e-227
"1141",2.51162119062528e-79
"1142",6.80959551836109e-45
"1143",2.98814103906167e-64
"1144",0
"1145",3.59567638221113e-104
"1146",0
"1147",0
"1148",2.62878706537187e-42
"1149",1.92011961955954e-276
"1150",0
"1151",6.53147270816602e-54
"1152",1.52648302640812e-94
"1153",6.20046428757673e-119
"1154",3.62218013697442e-86
"1155",7.42990467929716e-41
"1156",2.48038149407822e-23
"1157",0.523689333652919
"1158",7.79545989859413e-125
"1159",4.1696817776913e-56
"1160",1.92619633992492e-29
"1161",1
"1162",2.90179286765923e-123
"1163",1.89288605954353e-29
"1164",7.97028982237885e-36
"1165",2.56991284745492e-17
"1166",0.00516213061117522
"1167",8.14765727071096e-09
"1168",0.0254761491280348
"1169",1
"1170",3.53262572571975e-06
"1171",1
"1172",0
"1173",0
"1174",0
"1175",0
"1176",0
"1177",0.0037187802144519
"1178",1
"1179",1
"1180",2.2818335245249e-260
"1181",2.21713202858771e-282
"1182",9.51845841764034e-245
"1183",3.11192890873795e-252
"1184",1.15730624529511e-270
"1185",8.84790596767235e-238
"1186",1.62335875919076e-259
"1187",1.36131347988147e-265
"1188",5.79430433596196e-243
"1189",1.61226067497217e-268
"1190",3.98199756549907e-251
"1191",1.46840157705673e-204
"1192",5.98984874744753e-252
"1193",1.36017435809113e-161
"1194",4.09865155212418e-87
"1195",6.83107501136254e-59
"1196",6.18735242165221e-230
"1197",8.7839569878667e-236
"1198",1.87914273761797e-211
"1199",3.41277958523699e-73
"1200",0
"1201",5.58834047476816e-260
"1202",5.31248909826281e-41
"1203",5.29244702567499e-73
"1204",0.000413659840802777
"1205",1.15280416690407e-22
"1206",1.25033982775587e-267
"1207",6.68558937339352e-160
"1208",2.94932875419969e-11
"1209",4.23443638070857e-05
"1210",6.38864958594647e-223
"1211",2.4532332522636e-129
"1212",3.86702693629125e-27
"1213",1
"1214",4.50756471967946e-129
"1215",1.55671805003363e-15
"1216",0
"1217",0
"1218",0
"1219",0
"1220",1
"1221",5.2905221409748e-05
"1222",1.57624878738024e-06
"1223",1
"1224",4.24754484469076e-05
"1225",1.47359945903279e-06
"1226",1
"1227",1
"1228",1
"1229",0
"1230",1.80903789540089e-268
"1231",2.99987028535009e-214
"1232",4.23786283704833e-305
"1233",1.04147238326316e-242
"1234",1.78782707793478e-192
"1235",0
"1236",5.95567986824361e-237
"1237",1.00315925888627e-225
"1238",2.56018985407083e-303
"1239",0
"1240",2.23875016595218e-244
"1241",4.61443792513535e-184
"1242",6.92862880126853e-118
"1243",1.19192446038167e-06
"1244",1.63341515669758e-05
"1245",3.54666230397515e-267
"1246",4.71787983820436e-186
"1247",7.02591221896782e-142
"1248",7.53202233783695e-138
"1249",0
"1250",1.39795366260986e-249
"1251",3.17659884562934e-85
"1252",7.42685458797154e-93
"1253",6.16673082999492e-06
"1254",1.14524599975719e-37
"1255",1.98482152338681e-259
"1256",7.07989323510437e-140
"1257",1.73199755795884e-06
"1258",0.449836189752747
"1259",2.88928531823522e-177
"1260",2.15023928987093e-130
"1261",1.58224542925381e-10
"1262",1
"1263",6.91947160514244e-25
"1264",3.93124030264762e-21
"1265",2.2584129063063e-280
"1266",0
"1267",0
"1268",0
"1269",5.82960718048629e-152
"1270",1.75806316701369e-67
"1271",5.70996752092624e-46
"1272",4.05952425030906e-148
"1273",2.57872412326163e-65
"1274",1.3135526453068e-44
"1275",0
"1276",1
"1277",1
"1278",1
"1279",1.15485182818333e-224
"1280",3.37520682381662e-198
"1281",2.29184162568985e-252
"1282",2.63788799645319e-215
"1283",1.01242347758158e-179
"1284",4.31759541100421e-222
"1285",4.481799120494e-251
"1286",1.38581025240637e-198
"1287",7.97078923583948e-202
"1288",7.58596336414438e-212
"1289",1.52362977550175e-226
"1290",0
"1291",1.41397387590862e-156
"1292",6.42562016887716e-84
"1293",2.85483552170945e-16
"1294",8.33115503919634e-16
"1295",4.08925294526934e-191
"1296",1.33972670092991e-141
"1297",1.5474718831516e-152
"1298",3.40603226521732e-71
"1299",2.16283199092155e-228
"1300",3.32646725319004e-252
"1301",7.61583186914145e-40
"1302",1.54812248683267e-55
"1303",0.890588549264451
"1304",1.97027733717376e-31
"1305",4.42345971804179e-124
"1306",5.36954029093502e-108
"1307",0.00478193893212645
"1308",0.562877232896754
"1309",3.31184594272651e-174
"1310",1.08604937457821e-123
"1311",4.34282616482293e-17
"1312",0.00181790739781406
"1313",1.04239429963894e-48
"1314",1.05771014079401e-71
"1315",8.06152767726285e-230
"1316",0
"1317",0
"1318",0
"1319",1.80855613975849e-82
"1320",6.57636848677502e-27
"1321",2.03032119240359e-39
"1322",1.70402906721854e-80
"1323",4.18912656362697e-26
"1324",3.18023382652502e-38
"1325",0
"1326",0
"1327",5.75687627941823e-11
"1328",0.00985040843272421
"1329",1
"1330",5.73526387375789e-176
"1331",2.03645226529516e-147
"1332",6.09366949754195e-120
"1333",1.00815107493228e-166
"1334",1.40062057954514e-132
"1335",1.06226542051364e-108
"1336",1.2203041944321e-198
"1337",1.2897957489425e-155
"1338",6.79520294438995e-141
"1339",4.12642718681625e-177
"1340",4.48574250486292e-163
"1341",5.53941155699935e-129
"1342",4.67956439237323e-98
"1343",3.72090672822514e-62
"1344",0.00181260768698322
"1345",1
"1346",9.68741389599479e-143
"1347",1.33937704746264e-101
"1348",1.04883833066164e-81
"1349",2.04685900502369e-24
"1350",1.21482573627232e-241
"1351",2.70113783362189e-182
"1352",1.06956937301993e-11
"1353",6.3690027491112e-40
"1354",1
"1355",8.29626299555276e-23
"1356",1.92571249486347e-165
"1357",4.64358497512537e-105
"1358",0.0444783282656835
"1359",0.0202866980828705
"1360",3.22048028037215e-137
"1361",5.98195742020107e-89
